epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,295.768,0.91493,1.20533,1.22085,0.51375,0.74714,0.63142,0.51572,0.68273,0.97237,1.10144,0.000495291,0.000495291,0.000495291
68,300.266,0.78176,1.08133,1.14648,0.51106,0.71684,0.63288,0.50768,0.69593,0.99517,1.09113,0.000481144,0.000481144,0.000481144
69,304.816,0.78609,1.09934,1.12045,0.76439,0.54983,0.66079,0.545,0.62388,0.95632,1.04635,0.000466997,0.000466997,0.000466997
70,309.508,0.77519,1.0657,1.11501,0.76622,0.59754,0.68251,0.55952,0.63397,0.95625,1.03455,0.00045285,0.00045285,0.00045285
71,314.13,0.77216,1.02112,1.14787,0.73334,0.58218,0.65861,0.54591,0.68924,1.00897,1.04203,0.000438703,0.000438703,0.000438703
72,318.787,0.83613,1.11064,1.16001,0.61063,0.57552,0.58318,0.4734,0.74864,1.15996,1.11663,0.000424556,0.000424556,0.000424556
73,323.379,0.7813,0.9867,1.12022,0.60822,0.58254,0.58176,0.47095,0.79384,1.13252,1.16876,0.000410409,0.000410409,0.000410409
74,327.866,0.75371,0.98184,1.11607,0.49929,0.64545,0.59989,0.49256,0.78789,1.05444,1.18599,0.000396262,0.000396262,0.000396262
75,332.689,0.79846,0.98508,1.12881,0.69145,0.60842,0.61118,0.51775,0.72876,1.02935,1.15353,0.000382115,0.000382115,0.000382115
76,337.179,0.85295,1.04959,1.15602,0.69223,0.54478,0.59013,0.48585,0.73618,1.18179,1.12071,0.000367967,0.000367967,0.000367967
77,341.945,0.7598,0.94942,1.11856,0.71115,0.61021,0.62869,0.51278,0.7317,1.09838,1.10318,0.00035382,0.00035382,0.00035382
78,346.704,0.83876,0.98027,1.18956,0.7275,0.65888,0.67602,0.5484,0.71948,0.95886,1.09929,0.000339673,0.000339673,0.000339673
79,351.578,0.7825,0.99269,1.14995,0.71432,0.71131,0.69126,0.56419,0.72561,0.9027,1.11696,0.000325526,0.000325526,0.000325526
80,356.204,0.84328,1.08139,1.15704,0.73697,0.64833,0.68774,0.5668,0.68762,0.91377,1.08597,0.000311379,0.000311379,0.000311379
81,360.674,0.75415,0.95242,1.1178,0.66543,0.62495,0.66128,0.54037,0.6678,0.99192,1.05321,0.000297232,0.000297232,0.000297232
82,365.134,0.722,0.94745,1.11271,0.67736,0.56016,0.63975,0.52276,0.69084,1.03055,1.05586,0.000283085,0.000283085,0.000283085
83,369.539,0.76022,0.98957,1.12813,0.57964,0.6633,0.62963,0.51723,0.72455,1.01119,1.09802,0.000268938,0.000268938,0.000268938
84,374.542,0.81166,1.01562,1.18803,0.65604,0.62956,0.66357,0.54532,0.6735,0.9617,1.06681,0.000254791,0.000254791,0.000254791
85,379.251,0.72333,0.94995,1.09462,0.69772,0.66014,0.66127,0.5436,0.65153,0.96912,1.05667,0.000240644,0.000240644,0.000240644
86,384.001,0.73644,0.92806,1.11678,0.78528,0.63465,0.65117,0.5348,0.64814,0.99682,1.05019,0.000226497,0.000226497,0.000226497
87,388.924,0.74731,0.88404,1.09588,0.75462,0.63204,0.64879,0.53843,0.62719,1.00512,1.04121,0.000212349,0.000212349,0.000212349
88,393.971,0.72005,0.89365,1.08385,0.75743,0.64916,0.6525,0.5576,0.62533,0.97293,1.03622,0.000198202,0.000198202,0.000198202
89,398.741,0.70491,0.87801,1.10326,0.7458,0.63064,0.65462,0.56241,0.6232,0.99849,1.02407,0.000184055,0.000184055,0.000184055
90,403.809,0.73704,0.85588,1.10601,0.69649,0.64309,0.64844,0.55563,0.61493,1.00987,1.0144,0.000169908,0.000169908,0.000169908
91,425.193,0.62612,0.7447,1.14636,0.68519,0.68467,0.65154,0.54803,0.63453,0.99496,1.03304,0.000155761,0.000155761,0.000155761
92,430.089,0.61471,0.72716,1.13405,0.66345,0.62795,0.62958,0.5195,0.71154,1.02437,1.0959,0.000141614,0.000141614,0.000141614
93,434.874,0.55942,0.64768,1.08624,0.77417,0.6232,0.63073,0.51724,0.70716,1.02363,1.09155,0.000127467,0.000127467,0.000127467
94,439.711,0.61807,0.71723,1.12585,0.77436,0.68925,0.63821,0.52658,0.66961,0.99283,1.06267,0.00011332,0.00011332,0.00011332
95,444.357,0.56177,0.63552,1.08363,0.7322,0.68932,0.65211,0.55519,0.62611,0.9653,1.02878,9.91726e-05,9.91726e-05,9.91726e-05
96,449.271,0.54675,0.62673,1.08334,0.68393,0.68178,0.67317,0.57331,0.60129,0.93109,1.02085,8.50255e-05,8.50255e-05,8.50255e-05
97,453.928,0.59427,0.58981,1.09458,0.7206,0.65387,0.6736,0.57256,0.59693,0.92172,1.01588,7.08784e-05,7.08784e-05,7.08784e-05
98,458.636,0.55485,0.59908,1.0839,0.69384,0.66241,0.67588,0.56896,0.60177,0.93213,1.01299,5.67313e-05,5.67313e-05,5.67313e-05
99,463.466,0.51161,0.56822,1.03651,0.63935,0.69091,0.66441,0.55961,0.61478,0.94958,1.01815,4.25842e-05,4.25842e-05,4.25842e-05
100,468.158,0.50625,0.56259,1.04964,0.64555,0.70802,0.66309,0.55186,0.63601,0.96833,1.03552,2.84371e-05,2.84371e-05,2.84371e-05
