epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,120.662,0.82979,1.19514,1.89541,1.14431,0.65754,0.58466,0.66755,0.55736,0.64378,0.6016,0.66409,0.54629,0.6713,1.19092,2.919,0.95365,0.00089141,0.00089141,0.00089141
40,123.722,0.78981,1.1542,1.76181,1.14657,0.69966,0.6004,0.67912,0.5564,0.69519,0.6455,0.69276,0.5477,0.74875,1.26173,2.98209,1.03634,0.000877263,0.000877263,0.000877263
41,126.762,0.81912,1.22747,1.89307,1.18429,0.69349,0.63583,0.68788,0.54671,0.69349,0.63583,0.67678,0.55482,0.69731,1.19961,2.9808,0.96578,0.000863116,0.000863116,0.000863116
42,129.805,0.82657,1.19793,1.86738,1.17004,0.64456,0.69781,0.71587,0.5795,0.64456,0.69781,0.69999,0.58922,0.68688,1.12295,2.96695,0.91435,0.000848969,0.000848969,0.000848969
43,132.902,0.77584,1.06407,1.84604,1.13799,0.78376,0.65873,0.78221,0.65849,0.78376,0.65873,0.77011,0.66194,0.6301,1.19381,2.58071,0.88071,0.000834822,0.000834822,0.000834822
44,136.065,0.8572,1.24489,1.95585,1.18352,0.83535,0.64654,0.76245,0.63556,0.83535,0.64654,0.75595,0.61677,0.69896,1.24642,2.68699,0.92283,0.000820675,0.000820675,0.000820675
45,139.208,0.81023,1.17757,1.84958,1.16118,0.7205,0.7688,0.76648,0.60652,0.7205,0.7688,0.75809,0.59458,0.78691,1.26626,2.81643,1.02093,0.000806528,0.000806528,0.000806528
46,142.298,0.73813,1.06631,1.6079,1.10605,0.78238,0.6455,0.75454,0.60539,0.78238,0.6455,0.74658,0.59925,0.71232,1.22653,2.89555,0.94067,0.00079238,0.00079238,0.00079238
47,145.394,0.74925,1.08861,1.70846,1.14063,0.71121,0.66402,0.73881,0.58843,0.71121,0.66402,0.7289,0.5792,0.72759,1.33255,2.90454,0.95686,0.000778233,0.000778233,0.000778233
48,148.494,0.80271,1.10459,1.7674,1.14938,0.78177,0.69536,0.74142,0.59478,0.78177,0.69536,0.7319,0.58927,0.71726,1.12535,2.87919,0.92012,0.000764086,0.000764086,0.000764086
49,151.78,0.78789,1.05556,1.72444,1.15723,0.76091,0.67711,0.75492,0.60455,0.76091,0.67711,0.73399,0.59153,0.71538,1.21468,2.56155,0.91449,0.000749939,0.000749939,0.000749939
50,154.832,0.81576,1.18192,1.73698,1.1473,0.7516,0.58466,0.71229,0.58658,0.76418,0.59736,0.71231,0.58352,0.81278,1.3192,2.65894,1.01674,0.000735792,0.000735792,0.000735792
51,157.897,0.82261,1.05299,1.79285,1.15921,0.67563,0.77513,0.73705,0.60614,0.67563,0.77513,0.74954,0.60158,0.6994,1.3218,2.79867,0.92758,0.000721645,0.000721645,0.000721645
