epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,204.804,0.81308,1.05406,1.17054,0.78199,0.49934,0.59548,0.50228,0.7862,1.21278,1.06298,0.000325526,0.000325526,0.000325526
80,206.919,0.75122,0.90871,1.11105,0.66098,0.56551,0.58699,0.50013,0.80113,1.22778,1.08995,0.000311379,0.000311379,0.000311379
81,209.07,0.74276,0.92873,1.11547,0.67741,0.58995,0.63503,0.5344,0.78678,1.1761,1.10162,0.000297232,0.000297232,0.000297232
82,211.136,0.80262,1.02583,1.1803,0.68838,0.58022,0.65818,0.56263,0.75588,1.18249,1.08289,0.000283085,0.000283085,0.000283085
83,213.301,0.69926,0.89949,1.09769,0.79672,0.54657,0.65981,0.56978,0.76777,1.22428,1.08775,0.000268938,0.000268938,0.000268938
84,215.384,0.73511,0.92795,1.10743,0.67875,0.56598,0.63581,0.54165,0.74505,1.27224,1.06105,0.000254791,0.000254791,0.000254791
85,217.413,0.72919,0.86082,1.10946,0.68232,0.59104,0.63894,0.55168,0.72689,1.23175,1.04301,0.000240644,0.000240644,0.000240644
86,219.519,0.76529,0.93612,1.12609,0.71826,0.58832,0.64279,0.54998,0.73507,1.2116,1.03833,0.000226497,0.000226497,0.000226497
87,221.584,0.69679,0.86366,1.09418,0.61189,0.64447,0.64015,0.54629,0.75441,1.20503,1.04564,0.000212349,0.000212349,0.000212349
88,223.661,0.73854,0.883,1.10808,0.62277,0.60847,0.64128,0.54016,0.76464,1.1703,1.05959,0.000198202,0.000198202,0.000198202
89,225.778,0.69667,0.86689,1.07569,0.74177,0.52765,0.64823,0.54775,0.77853,1.17933,1.06554,0.000184055,0.000184055,0.000184055
90,227.83,0.73431,0.86452,1.10666,0.6006,0.63104,0.63884,0.54344,0.78189,1.21313,1.06549,0.000169908,0.000169908,0.000169908
91,244.369,0.58924,0.77036,1.12096,0.57173,0.6455,0.61423,0.52932,0.77104,1.24055,1.07069,0.000155761,0.000155761,0.000155761
92,246.441,0.58901,0.64042,1.11649,0.54155,0.64294,0.58306,0.50363,0.78552,1.36703,1.10734,0.000141614,0.000141614,0.000141614
93,248.468,0.58463,0.63019,1.11049,0.56913,0.58338,0.55964,0.47762,0.81872,1.41734,1.1479,0.000127467,0.000127467,0.000127467
94,250.511,0.53642,0.57616,1.06427,0.58935,0.58995,0.56874,0.48716,0.77883,1.41028,1.11875,0.00011332,0.00011332,0.00011332
95,252.735,0.52688,0.58407,1.07951,0.62207,0.57869,0.58114,0.50708,0.7364,1.35892,1.0771,9.91726e-05,9.91726e-05,9.91726e-05
96,254.805,0.5915,0.63589,1.12087,0.64887,0.60847,0.60363,0.51942,0.72946,1.33601,1.06314,8.50255e-05,8.50255e-05,8.50255e-05
97,256.9,0.51002,0.54943,1.05731,0.63383,0.62146,0.61329,0.52927,0.74356,1.30048,1.05975,7.08784e-05,7.08784e-05,7.08784e-05
98,258.929,0.51793,0.5392,1.07092,0.60125,0.6478,0.61558,0.53162,0.75969,1.29562,1.07232,5.67313e-05,5.67313e-05,5.67313e-05
99,260.963,0.53155,0.4998,1.09063,0.65086,0.58269,0.61642,0.53485,0.75829,1.27707,1.06586,4.25842e-05,4.25842e-05,4.25842e-05
100,263.054,0.51484,0.54237,1.04579,0.6692,0.57907,0.61522,0.52944,0.75458,1.28204,1.05633,2.84371e-05,2.84371e-05,2.84371e-05
